county,licnum,sitename,streetaddy,cityaddy,zip
St. Johns,6501451,Dan Murphy's Irish Pub,"4320 A1A South, Suite 9 & 10",Saint Augustine,32080
St. Johns,6501534,Bai Tong Thai Sushi,"3915 A1A S, Suite 101",Saint Augustine,32080
St. Johns,6501573,Sushi Zento And Grill,1061 A1A Beach Blvd,Saint Augustine,32080
St. Johns,6501901,Aunt Kate'S,612 Euclid Avenue,Saint Augustine,32084
St. Johns,6502040,Mezcal Cantina Authentic Mexican Grill,"880 A1A N, Suite 18B",Ponte Vedra,32082
Suwannee,7100326,China Kitchen,927 Ohio Ave S,Live Oak,32064
Dade,2328530,Cafe Vert,9490 Harding Avenue,Surfside,33154
Broward,1616780,Boston Market #230,1781 E Commercial Blvd,Fort Lauderdale,33334-5737
Palm Beach,6019033,Brooklyns Original Pizza,3025 S Federal Hwy,Delray Beach,33483
Palm Beach,6020289,Mojito,700 S Rosemary Ave #228,West Palm Beach,33401
Hernando,3701156,Golden Corral,5300 Commercial Way,Spring Hill,34606
Hillsborough,3911952,Kfc/Taco Bell,5367 Ehrlich Road,Tampa,33625
Hillsborough,3916377,Jamaica Jamaica Island Cuisine,8206 W Waters Ave #116,Tampa,33615
Hillsborough,3952190,Mexican Food,3121 E. Hillsborough Ave.,Tampa,33610
Pasco,6102536,20Th Hole Bar & Grill,8342 New York Ave,Hudson,34667
Pinellas,6215614,Tikanis,9385 Bay Pines Blvd,St. Petersburg,33708
Lake,4508660,Saffron Indian Restaurant,16744 Cagan Crossings Blvd #104,Clermont,34714
Lake,4508761,The Friar Tuck,"16640 Cagan Crossings Blvd., Suite 302",Clermont,34714
Orange,5810456,Veronica Restaurant,4300 S Orange Blossom Trl,Orlando,32839
Orange,5814039,Sunshine Soul Food Café,2528 W Colonial Dr Suite #B,Orlando,32804
Orange,5814197,Sunshine Seafood Bar & Grill,2528 W Colonial Dr,Orlando,32804
Orange,5854109,Kappu Bistro By Cappuccio Express,5811 W Irlo Bronson Memorial Hwy,Kissimmee,34746
Osceola,5911004,BBQ Tonight,"3260 Vineland Road, Suite 106",Kissimmee,34746
Columbia,2200695,Italian Pizzeria And Restaurant,"1077 W US Hwy 90, Suite 40",Lake City,32055
Duval,2612747,Oceanway Bar And Grille,12905 N Main St,Jacksonville,32218
Duval,2613367,Sydney An Australian Beach Club,205 1 St N,Jacksonville Beach,32250
Marion,5202925,Freddy's Frozen Custard & Steakburger,"3558 SW College Road,, Suite 100",Ocala,34474
St. Johns,6500018,Paulas Beachside Grill,6896 A1A South,Saint Augustine,32080
Bay,1303327,Montego Bay Seafood House & Oyster Bar,473 Richard Jackson Blvd,Panama City Beach,32407
Bay,1305359,The Red Elephant Pizza & Grill,2499 Martin Luther King Jr Blvd,Panama City,32405
Bay,1305368,Shoney'S,"101 Bluefish Dr, Suite 105",Panama City Beach,32413
Bay,1305545,Sandbar Seafood House & Deli,275 S Highway 79,Panama City Beach,32413
Escambia,2700668,El Agave Mexican Restaurant Inc,3811 W Navy Blvd,Pensacola,32507
Escambia,2701871,Wow Wing & Deli,2111 W Fairfield Dr,Pensacola,32505
Escambia,2702491,The Deli Case,"4400 Bayou Blvd, Suite 55",Pensacola,32503
Escambia,2705134,Happy China Restaurant,4810 Mobile Hwy,Pensacola,32506
Escambia,2705616,Sams Fun City & Sams Surf City,6709 Pensacola Blvd,Pensacola,32505
Escambia,2705734,Valley Services Inc  Unit 6020,120 South 'I' St,Pensacola,32501
Escambia,2706049,Castaways Beachside Restaurant & Raw Bar,400 Quietwater Beach Road,Pensacola,32561
Escambia,2706231,Shux Oyster Bar,509 S Palafox Place,Pensacola,32502
Franklin,2901231,Hog Wild Bar B Q,1593 W Highway 98,Carrabelle,32322
Gadsden,3000171,Burger King #06289,1400 W Jefferson St,Quincy,32351
Gadsden,3000334,Aj's Chicken & Things,203 W. Jefferson St.,Quincy,32351
Jackson,4200222,Mcdonald'S,2090 Hwy 71,Marianna,32448
Jackson,4200537,McDonald's #35242,2510 US Hwy 231,Cottondale,32431
Leon,4702169,Zaxby'S,2319 N Monroe St,Tallahassee,32303
Leon,4702454,China First,"400 SE Capital Cir, Suite 24",Tallahassee,323013802
Leon,4702500,Gordos Restaurant,1907 W Pensacola St,Tallahassee,32304
Leon,4702963,Wells Brothers Bar & Grill,1710 W Tharpe St,Tallahassee,32303
Leon,4703042,Pho Me!,2320 Apalachee Parkway Unit E,Tallahassee,32301
Leon,4703122,New Times Country Buffet,1701 N Monroe St,Tallahassee,32303
Leon,4703123,Bandidos Burrito Company,910 Lake Bradford Road,Tallahassee,32304
Leon,4703215,Zaxby'S,1380 Capital Circle Nw,Tallahassee,32304
Leon,4703344,Leola's Crab Shack,710-C West Orange Avenue,Tallahassee,32310
Leon,4703446,The Other Seineyard,1660-6 No Monroe,Tallahassee,32303
Leon,4703627,Joy Luck Place,1002 N Monroe St,Tallahassee,32303
Leon,4703716,Los Compadres Express,2431 Barcelona Ln,Tallahassee,32311
Okaloosa,5601704,Lucky Strike Lanes,745  Beal Pkwy Nw,Ft Walton Bch,325473045
Okaloosa,5603614,Johnny O'Quigley's / Lil Quig's Irish Pub And Grille,34940 Emerald Coast Parkway #101,Destin,32541
Okaloosa,5604105,The Tipsy Pig,2504 Hwy 98 W,Mary Esther,32569
Santa Rosa,6700046,Milton Tastee Freez,6511 Caroline St,Milton,32570
Santa Rosa,6700972,Nim's Garden,6536 Hwy 90,Milton,32570
Santa Rosa,6701387,Ace's Restaurant,6583 Hwy 90,Milton,32570
Wakulla,7502851,Family Coastal Restaurant Of Wakulla Llc,2302 Crawfordville Hwy,Crawfordville,32327
Walton,7602195,Tropicana Club,400 E Nelson Avenue,Defuniak Springs,32433
Charlotte,1801377,Country Hound Cafe,"1951 S Mccall Road, Suite 530",Englewood,34223
Charlotte,1801757,Ice House Pub,408 Tamiami Trl,Punta Gorda,33950
Charlotte,1801905,Blue Turtle,139 W Marion Ave,Punta Gorda,33950
Collier,2101541,Dairy Queen #14049,4895 Golden Gate Parkway,Naples,34116
Collier,2102018,Taco Ardiente,1048 Pine Ridge Road,Naples,34108
Collier,2102348,Steamers Of Naples,5317 Airport Road,Naples,34109
Collier,2102420,Dragon Palace,1241 Airport Road S,Naples,34104
Collier,2103435,Brenda's Mexican Restaurant,211 West Main Street,Immokalee,34142
Glades,3200110,Duck Pub,1037 Lakeport Plaza,Okeechobee,34974
Highlands,3800447,Quality Inn & Suites,6525 US Hwy 27 North,Sebring,33870
Highlands,3800752,China Max,901 US 27 N #18,Sebring,33870
Highlands,3801157,Bo David's Restaurant And Bar,131 S Sun N Lakes Blvd,Lake Placid,33852
Lee,4601704,Eastwood Golf Cafe,4600 Bruce Herd Ln,Fort Myers,33905
Lee,4603811,Iguana Mia Of Ft Myers,4329 S Cleveland Ave,Fort Myers,339019037
Lee,4606192,Jill's Joint,889 NE 27th Lane #1,Cape Coral,33909
Lee,4606766,The Mix Grill Of Fort Myers Inc,4921 Palm Beach Blvd,Fort Myers,33905
Manatee,5104195,Finger Lickin' BBQ Bar & Grill,3142 53 Ave E,Bradenton,34203
Manatee,5104509,Bangkok Tokyo,7337 52 Place E,Bradenton,34203
Manatee,5105492,Sushi & Pho,3118 53rd Avenue East,Bradenton,34203
Manatee,5105628,Sushi Hana,4274 53rd Ave E,Bradenton,34203
Sarasota,6803597,The Serving Spoon,1825 S Osprey Ave,Sarasota,34239
Sarasota,6803649,Italian Grill (The),8620 S Tamiami Trail,Sarasota,342383045
Sarasota,6803986,Kentucky Fried Chicken,3780 E Bee Ridge Road,Sarasota,34233
Sarasota,6805083,China Chef,1131 S Toledo Blade Blvd #86,North Port,34288
Sarasota,6805203,Holiday Inn Sarasota Airport,8009 15th Street East,Sarasota,34243
Sarasota,6805362,La Mucca Ballerina,1668 Main St,Sarasota,34236
Sarasota,6805568,Icesmile,140 University Town Center Dr #175,Sarasota,34243
Dade,2324767,Chez Madame Johns Restaurant,975 NE 125 St,North Miami,331615742
Broward,1623417,Smoothie King,3 N State Road 7,Plantation,33317
Palm Beach,6013323,Yeung's Lotus Express,"10300  West Forest Hill Blvd,, Suite 101",Wellington Green,33414
Palm Beach,6021820,Paradise Biryani Pointe,7667 Lake Worth Road,Lake Worth,33467
Brevard,1500478,Pineda Inn Bar & Grill Inc,6533 S US Hwy 1,Rockledge,32955
St. Lucie,6602675,Subway,7534 S Federal Hwy,Port St Lucie,34952
Volusia,7406948,Tiano's Italian Restaurant Inc,1000 Wayne Ave,New Smyrna Beach,32168
Duval,2614965,Jville Crab Shack Number 3,700 N Edgewood Ave,Jacksonville,32254
Putnam,6400884,Hoot Owl Farm House,1821 Reid St,Palatka,32177
St. Johns,6501546,Howard Johnson Inn,137 San Marco Ave,St Augustine,32084
Lee,4606706,Golden Corral,410 Andalusia Blvd,Cape Coral,33909
Hillsborough,3910568,Szechuan House,508 N Franklin St,Tampa,33602
Hillsborough,3915648,Grand China,6168 Gunn Highway,Tampa,33625-4014
Pinellas,6208950,Rae Rae's Cafe,5701 Central Ave,St. Petersburg,33710
Polk,6307870,China Mei Wei Buffet,4250 US 98 N,Lakeland,33809
Dade,2330012,Cafe South Beach,121 5 St,Miami Beach,33139
Dade,2334002,Wingmania Of Homestead,28600 SW 137 Ave A2,Homestead,33033
Broward,1623140,Vinnie Lobster Bar,5810 S University Dr #118,Davie,33328
Palm Beach,6005680,Chung Wah,6017 S Dixie Hwy,West Palm Beach,33405
Palm Beach,6011515,Blue Anchor,804 E Atlantic Ave,Delray Beach,33483
Brevard,1506830,Tree Of Life Cuban Food,2400 Dairy Road,West Melbourne,32904
Indian River,4100626,Captain Hiram'S,1606 Indian River Dr,Sebastian,329581610
Lake,4508371,China Kitchen,"7985 State Road 50, Suite D 300",Groveland,34736
Volusia,7403366,Mannys Pizza,3318 S Atlantic Ave,New Smyrna Beach,32169
Duval,2608112,Quality Inn,6802 Commonwealth Ave,Jacksonville,32254
Duval,2610303,Jax What's Cookin,1921 Lane Ave S,Jacksonville,32210
Marion,5202788,Pineapple Sam's Cafe,18976 E Hwy 40,Silver Springs,34488
Gadsden,3000377,Denny's #8566,32670 Blue Star Hwy,Midway,32343
Hardee,3500246,Smokin Joes BBQ,4050 Hwy 17 N,Bowling Green,33834
Lee,4604364,Jerseys Sports Cafe,13971 N Cleveland Ave,North Fort Myers,33903
Manatee,5150386,Pollos Asados La Frontera,1100 8th Ave W,Palmetto,34221
Hillsborough,3916711,Hamburger Mary's Bar And Grille,1800 East 8th Ave Unit E-202,Tampa,33605
Pasco,6113544,Cosmos Family Restaurant,1600 US Hwy 19,Holiday,34691
Pinellas,6213591,The Bayou Cafe,118 E Tarpon Ave,Tarpon Springs,34689
Pinellas,6216630,Asian Pearl,2551 Drew St #104,Clearwater,33765
Dade,2326593,Simon Restaurant & Catering Services,15042 NW 7 Ave,Miami,33168
Dade,2326861,China Express,5301 NE 2 Ave,Miami,33137
Dade,2331059,The Daily Creative Food Co,2001 North Biscayne Blvd,Miami,33137
Dade,2335402,Booby Trap On The River,3615 NW South River Drive,Miami,33142
Monroe,5428248,Fernandy's Cafe Llc,1110 White St,Key West,33040
Broward,1608102,Sawgrass Lanes,8501 N University Dr,Fort Lauderdale,33321-1719
Broward,1624471,A Tasty Meal,"12221 Pembroke Road, Suite 502",Pembroke Pines,33025
Broward,1624663,Eat Clean,3834 N University Dr,Sunrise,33351
Brevard,1505832,Copperhead Tavern,205 5th Avenue,Indialantic,32903
Orange,5807781,Sazon's Restaurant Buffet And Grill,701 W Lancaster Road,Orlando,32809
Orange,5812267,Avenue,13 S Orange Ave,Orlando,32801
Alachua,1102902,New Hot Wok House,3006 NW 13 St,Gainesville,32609
Bradford,1400163,Subway Sandwiches & Salads,236 S Temple Ave,Starke,32091
Duval,2610888,Byblos Gyros & Kabobs,"10916 Atlantic Blvd , Suite 6",Jacksonville,32225
Duval,2614064,Jjs Crab House,1963 Kings Road #2,Jacksonville,32209
Flagler,2800768,Zaxbys,180 Cypress Edge Dr,Palm Coast,32164
Bay,1305465,Ketana Thai Restaurant And Sushi Bar,10514 Front Beach Road,Panama City Beach,32407
Hillsborough,3915612,Molly Malone's Irish Pub,"304 E Davis Blvd, Suite E",Tampa,33606
Pinellas,6213686,Doe Does Diner,9395 Bay Pines Blvd,St. Petersburg,33708
Pinellas,6216673,Toasted Monkey Beach Bar & Sports Grill,6110 Gulf Blvd,St.Pete Beach,33706
Dade,2314897,Garcias Ranch House,1548 W 84 St,Hialeah,33014
Dade,2316253,Los Perros,6828 NW 169th Street,Hialeah,33015
Dade,2330982,Fritaybon Goutalix Restaurant,12143 NW 7 Ave,Miami,33168
Dade,2335422,Pizza Station,6824 NW 169 St,Hialeah,33015
Broward,1620974,Tamarac Thai And Sushi,7658 N Nob Hill Road,Tamarac,33321
Broward,1622425,Oceano Bistro & Lounge,1350 N Ocean Blvd,Pompano Beach,33062
Palm Beach,6012654,Pollo Tropical #50,107 N State Road 7,Royal Palm Beach,33411
Hernando,3700888,The Cove,3192 Shoal Line Blvd,Hernando Beach,34607
Hillsborough,3910922,La Giraldilla Hanley,8218 Hanley Road,Tampa,33634
Pinellas,6216322,Senor Taco,6447 Park Blvd Ste# 1,Pinellas Park,33781
Pinellas,6216720,Holiday Inn,1200 34 St N,St. Petersburg,33713
Polk,6350606,Mr Jyro #2,5457 US Hwy 985,Highland City,33846
Sumter,7000320,Mo's Family Restaurant,2306 N Cr 470,Lake Panasoffkee,33538-6162
Lake,4508352,Gators Dockside,601 Cagan Park Blvd,Clermont,34714
Orange,5813107,Chef Eddies Restaurant,"595 W Church St, Suite E",Orlando,32805
Duval,2614877,Ale Pie House,3951 St Johns Ave,Jacksonville,32205
Escambia,2701501,Cordova Lanes Snk Bar,2111 Airport Blvd,Pensacola,325048917
Dade,2333894,Brio Tuscan Grille,8888 SW 136 St,Miami,33176
Dade,2327887,Main Moon Buffet,18423 S Dixie Hwy,Miami,33157
Dade,2328883,Wolsen Cafã,17100 Collins Avenue,Sunny Isles,33160
Palm Beach,6051172,Mi Mexico Lindo Y Que Rico,13955 Smith Sundy Road,Delray Beach,33446
Hillsborough,3917985,Dunkin Donuts # 2273,6055 West Waters Avenue,Tampa,33634
Hillsborough,3912840,Danny's All American Cafe,4406 Falkenburg Road,Tampa,33610
Sumter,7000327,Hacienda Hills Country Club Restaurant,1200 N Morse Blvd,Lady Lake,32159
Hillsborough,3905181,McDonald's #6522,1002 S 78 St,Tampa,336194750
Orange,5807175,The Mediterranean Spot,9430 E Colonial Dr,Orlando,32817
Brevard,1506599,Popeyes,725 Palm Bay Road Ne,West Melbourne,32904
St. Johns,6501905,Hurricane Grill And Wings,"4255 A1A South, Suite 13 & 14",Saint Augustine,32080
Walton,7600838,Rachels Diner,39 E Hwy 20,Freeport,32439
Bay,1302428,Eat My Pasty,280 S Arnold Road,Panama City Beach,32413
Lee,4607054,Caribbean Union Restaurant And Bakery,"2814 Lee Blvd , Suite 7",Lehigh Acres,33971-1561
Palm Beach,6005863,Bagel Tree Restaurant,6580 W Atlantic Ave,Delray Beach,33446
Broward,1616975,Hong Kong City BBQ,5301 N State Road 7,Tamarac,33319
Pinellas,6217371,The Lure,661 Central Ave Unit A,St Petersburg,33701
Hillsborough,3952215,Taqueria El Flako,2324 W Cypress St,Tampa,33609
Orange,5812704,Turquaz Turkish Cuisine Llc,5648 International Dr,Orlando,32819
Lake,4508560,Graffiti Junktion Clermont,2400 S Hwy 27 Bldg A 101,Clermont,34711
Clay,2001103,China Wok,"7380 State Road 100, Suite 9",Keystone Heights,32656
Lee,4606678,Buffalo Wild Wings,25271 Chamber Of Commerce Dr,Bonita Springs,34134
Highlands,3800549,Oscar's Family Restaurant,267 US 27 N,Sebring,33870
Dade,2328281,Wendys Old Fashioned Hamburgers,1856 NE Miami Gardens Dr,North Miami Beach,33179
Dade,2328698,Little Peru,6832 NW 169 St,Miami,33015
Broward,1615997,Shalamas Rotishop,1432 N State Road 7,Margate,33063
Palm Beach,6020967,Cabo Flats,"14851 Lyons Road, Suite 122",Delray Beach,33446
Hillsborough,3917279,Brandon Honda,9209 E Adamo Dr,Tampa,33619
Hernando,3700236,My Nanny's Restaurant,5323 Commercial Way,Spring Hill,34608
Orange,5813386,Jumbo Asian Diner,"7798 Winter Garden Vineland Road,, Suite 108",Windermere,34786
Duval,2600351,Southern Charm Foods,3566 St Augustine Road,Jacksonville,32207
Duval,2600525,Singleton Seafood Shack,4720 Ocean St,Mayport,322332426
Duval,2609284,Domino's #3863,12200 San Jose Blvd #22,Jacksonville,32223
Dade,2334625,Pandoree,195-197 NW 36 St,Miami,33127
Dade,2333885,Casa Maiz Restaurant,7395 W 4 Ave,Hialeah,33014
Broward,1600258,Woodlands Country Club,4600 Woodlands Blvd,Tamarac,33319
Hernando,3701138,Gigi's Pizza & Pasta,12505 Springhill Dr,Spring Hill,34609
Pinellas,6217634,Perrys Restaurant,3405 34 St N,St. Petersburg,33713
Hernando,3700961,International House Of Pancakes 36-169,3660 Commercial Way,Spring Hill,34606
Citrus,1900709,Sarah's Diner,216 NE Hwy 19,Crystal River,34429
Pinellas,6215987,Pierogi Grill & Steakhouse,1535 Gulf To Bay Blvd,Clearwater,33755
Hillsborough,3912543,Lula Mae's Cafe Llc,9393 N Florida Ave,Tampa,33612
Volusia,7401998,Pantheon Pizza,505 White St,Daytona Beach,32114
Duval,2651534,Taco Charro,11969 Beach Blvd,Jacksonville,32246
St. Johns,6501577,China Wok,3501 N Ponce De Leon Blvd,Saint Augustine,32084
Duval,2611391,Country Cabin,1401 Dunn Ave,Jacksonville,322184835
Escambia,2700211,Sam's Seafood Shanty,420 S 'A' St,Pensacola,325015558
Santa Rosa,6700139,Burger King # 1618,6682 Caroline St Hwy 90,Milton,32570
Manatee,5104564,Kostas Family Restaurant,1631 8th Ave W,Palmetto,34221
Lee,4603809,Lazy Flamingo,1036 Periwinkle Way,Sanibel,339576915
Monroe,5402719,Camille'S,1202 Simonton St,Key West,33040
Dade,2300751,Mirador Restaurant,1111 Royal Poinciana,Miami Spgs,33166
Dade,2328352,Einstein Bros Bagels #2666,202 Miracle Mile,Coral Gables,33134
Palm Beach,6021005,Sweet's Sensational Cuisine,25 SW 5 Ave,Delray Beach,33444
Broward,1624663,Healthy Kitchen,3834 N University Dr,Sunrise,33351
Palm Beach,6019904,Chipotle Mexican Grill #881,2380 Palm Beach Lakes Blvd,West Palm Beach,33409
Broward,1621528,La Costa,1855 S State Road 7,Fort Lauderdale,33317
Broward,1600346,Charm City Burger Co,1136 E Hillsboro Blvd,Deerfield Beach,33441
Broward,1601639,Dragon Teahouse,1327 E Commercial Blvd,Oakland Park,33334
Hillsborough,3917797,Potbelly,4011 George Jb Highway,Tampa,33607
Hillsborough,3912384,Steak N Shake #449,12921 Sheldon Road,Tampa,33625
Pasco,6102810,Carolinas Cuban Resturant,"152 15 US 19, Suite K",Hudson,34667
Pasco,6113387,Steph's Southern Restaurant,14519 5th St,Dade City,33523
Brevard,1505386,Asian Gourmet,459 N Harbor City Blvd,Melbourne,32935
Lake,4501822,Kings Ridge Golf Club,1950 Kings Ridge Boulevard,Clermont,34711
Lake,4508333,Akina,4300 S Highway 27,Clermont,34711
Seminole,6900043,Mayfair Country Club,3536 Country Club Road,Sanford,32773
Marion,5200051,Ocala National Golf Club Llc,4782 NW 80 Ave,Ocala,34482
Duval,2615135,Brentwood Golf Course,1157 Mbo1 Golfair Blvd.,Jacksonville,32209
Duval,2610406,Mascaras,3225 Southside Blvd #8,Jacksonville,32216
Marion,5202701,Arby's #8298,2150 NE 49 Ct Road,Ocala,34470
Duval,2610283,Best Western Premier,4700 Salisbury Road,Jacksonville,32256
St. Johns,6502180,The Loop Pizza Grill,"101 Marketside Avenue, Suite 401",Ponte Vedra,32081
Jackson,4200539,Dairy Queen Grill And Chill,State Road 71,Marianna,32448
Escambia,2706385,Sammy Barker'S,875 E Nine Mile Road Unit 7,Pensacola,32514
Collier,2101923,Everglades Adventure Center Llc,102 Collier Ave,Everglades City,34138
Lee,4606836,Rincon Latino 2,3524 Palm Beach Blvd,Fort Myers,33916
Manatee,5105491,O'Bricks Irish Pub,427 12Th St W,Bradenton,34205
Sarasota,6804676,Meadows Village Pub,5013 Ringwood Mdw,Sarasota,34235
Dade,2331283,Sawa,360 San Lorenzo Ave Ste# 1500,Coral Gables,33146
Dade,2317087,Chicken House #2,3203 NW  17 Ave,Miami,33142
Palm Beach,6007245,The Breakfast Shack,"3469 W Boynton Beach Blvd, Suite #1",Boynton Beach,33436
Palm Beach,6007995,Peking Place,531 S Main St,Belle Glade,33430
Broward,1622879,El Portal Restaurante,3438 W Hillsboro Blvd,Deerfield Beach,33442
Pinellas,6217126,Asian House Restaurant,6800 Gulfport Bl Suite #105,South Pasadena,33707
Pasco,6102516,Niko's Grill,14100 Hicks Road,Hudson,34669
Pinellas,6213928,Steak N Shake Inc #307,4480 Park St,Kenneth City,33709
Hillsborough,3904264,Church's Chicken,2301 N 50 St,Tampa,33619
Hillsborough,3952318,Paradise Cafe,608 Nebraska Ave,Tampa,33602
Pinellas,6213145,La Teresita,7101 N 66 St,Pinellas Park,337814004
Pinellas,6213109,Loon Fong Restaurant,8150 N 49 Street,Pinellas Park,337812419
Orange,5805454,New York Broadway Pizza,"6807 Visitors Cir , Suite B",Orlando,32819
Duval,2614988,Ez Grill,6675 Arlington Road N,Jacksonville,32211
Marion,5201613,Aunt Fannies Restaurant,1031 S Pine St,Ocala,34471
Escambia,2705904,Taqueria Olgy's #2,"5222 North W St, Suite 1",Pensacola,32505
Escambia,2706393,Indian Grill,5800 North W St Unit 3,Pensacola,32505
Manatee,5105409,Sunshine Caribbean Restaurant,6320 15 St E 2,Sarasota,34243
Dade,2334100,Paraiso Cafe,2156 NW 7 Ave,Miami,33127
Palm Beach,6007442,Portobolla,9770 S Military Trl,Boynton Beach,33436-3207
Palm Beach,6019442,Pei Wei Fresh Kitchen #0080,"1750 N Congress Ave, Suite 700",Boynton Beach,33426
Hillsborough,3912741,Copa's Latin American Cafe,1601 S 22 St,Tampa,33605
Hillsborough,3917455,Dosa Hut,10029 W Hillsborough Ave,Tampa,33615
Dade,2334045,Saleya,22 NE 3 Ave,Miami,33132
Broward,1613365,Nami Japanese Restaurant,8381 Pines Blvd,Pembroke Pines,33024
Broward,1652047,All Star Vendor Inc,1126 S Powerline Road,Deerfield Beach,33442
Palm Beach,6007321,The Spot,1301 Belvedere Road,West Palm Beach,33405-1011
Citrus,1900026,Oysters Restaurant,606 NE US Hwy 19,Crystal River,34429
Hillsborough,3917471,Billy's Seafood & Gyros,8501 N Nebraska Ave,Tampa,33604
Pinellas,6216948,Restaurant Ma Hai,1915 Drew St,Clearwater,33765
Hillsborough,3952318,Paradise Cafe,1123 N Florida Avenue,Tampa,33602
Brevard,1500452,Alamo Mexican Kitchen,5885 S US Hwy 1,Rockledge,329555736
St. Lucie,6602334,Steak N Shake #426,6737 Darter Ct,Ft Pierce,34945
Seminole,6903035,Subway 10798,1018 State Road 434,Longwood,32750
Orange,5801751,Moghul Indian Cuisine,401 N Semoran Blvd,Winter Park,32792
Marion,5202764,Taco Bell 26447,2380 SW College Road,Ocala,34471
